,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
180,DB01247,Isocarboxazid,small molecule,Benzenoids,inhibitor,"Isocarboxazid has the formula 1-benzyl-2-(5-methyl-3-isoxazolylcarbonyl)hydrazine-isocarboxazid. It is a monoamine oxidase inhibitor.[A31930] It is used in the treatment of major depression, dysthymic disorder, atypical disorder, panic disorder and the phobic disorders.[T115] It was first introduced by Roche pharmaceuticals, further developed by Validus pharms Inc and first FDA approved as a prescription drug on July 1st, 1959.",Which of the following is a known effect of Isocarboxazid on neurotransmitters?,Decreases serotonin levels,Increases dopamine levels,Decreases norepinephrine levels,Increases insulin levels,Decreases cortisol levels,B
181,DB01247,Isocarboxazid,small molecule,Benzenoids,inhibitor,"Isocarboxazid has the formula 1-benzyl-2-(5-methyl-3-isoxazolylcarbonyl)hydrazine-isocarboxazid. It is a monoamine oxidase inhibitor.[A31930] It is used in the treatment of major depression, dysthymic disorder, atypical disorder, panic disorder and the phobic disorders.[T115] It was first introduced by Roche pharmaceuticals, further developed by Validus pharms Inc and first FDA approved as a prescription drug on July 1st, 1959.",What is the mechanism of action of Isocarboxazid?,Selective serotonin reuptake inhibitor,Beta-blocker,Nonselective monoamine oxidase inhibitor,Calcium channel blocker,Diuretic,C
182,DB01247,Isocarboxazid,small molecule,Benzenoids,inhibitor,"Isocarboxazid has the formula 1-benzyl-2-(5-methyl-3-isoxazolylcarbonyl)hydrazine-isocarboxazid. It is a monoamine oxidase inhibitor.[A31930] It is used in the treatment of major depression, dysthymic disorder, atypical disorder, panic disorder and the phobic disorders.[T115] It was first introduced by Roche pharmaceuticals, further developed by Validus pharms Inc and first FDA approved as a prescription drug on July 1st, 1959.",Which company first introduced Isocarboxazid?,Pfizer,Roche Pharmaceuticals,Validus Pharmaceuticals LLC,MediLink A/S,Takeda,B
183,DB01247,Isocarboxazid,small molecule,Benzenoids,inhibitor,"Isocarboxazid has the formula 1-benzyl-2-(5-methyl-3-isoxazolylcarbonyl)hydrazine-isocarboxazid. It is a monoamine oxidase inhibitor.[A31930] It is used in the treatment of major depression, dysthymic disorder, atypical disorder, panic disorder and the phobic disorders.[T115] It was first introduced by Roche pharmaceuticals, further developed by Validus pharms Inc and first FDA approved as a prescription drug on July 1st, 1959.",What is the primary route of elimination for Isocarboxazid?,Fecal,Renal,Pulmonary,Dermal,Biliary,B
184,DB01288,Fenoterol,small molecule,Benzenoids,agonist,Fenoterol is an adrenergic beta-2 agonist that is used as a bronchodilator and tocolytic.,Which of the following is a known side effect of Fenoterol overdose?,Hair loss,Skin rash,Rapid heartbeat,Weight gain,Increased appetite,C
185,DB01288,Fenoterol,small molecule,Benzenoids,agonist,Fenoterol is an adrenergic beta-2 agonist that is used as a bronchodilator and tocolytic.,Fenoterol is classified under which of the following drug categories?,Anticholinergic Agents,Adrenergic beta-2 Receptor Agonists,Antifungal Agents,Antibiotics,Antipsychotics,B
186,DB01288,Fenoterol,small molecule,Benzenoids,agonist,Fenoterol is an adrenergic beta-2 agonist that is used as a bronchodilator and tocolytic.,What is the mechanism of action of Fenoterol?,Inhibition of neurotransmitter release,Blockade of calcium channels,Stimulation of beta-2 adrenergic receptors,Inhibition of DNA replication,Activation of opioid receptors,C
187,DB01288,Fenoterol,small molecule,Benzenoids,agonist,Fenoterol is an adrenergic beta-2 agonist that is used as a bronchodilator and tocolytic.,Which of the following is a salt form of Fenoterol?,Fenoterol sulfate,Fenoterol hydrochloride,Fenoterol hydrobromide,Fenoterol acetate,Fenoterol phosphate,C
188,DB01388,Mibefradil,small molecule,Benzenoids,inhibitor,Mibefradil was withdrawn from the market in 1998 because of potentially harmful interactions with other drugs.,What is the primary therapeutic use of Mibefradil?,Treatment of diabetes,Treatment of angina and high blood pressure,Treatment of viral infections,Treatment of autoimmune diseases,Treatment of cancer,B
189,DB01388,Mibefradil,small molecule,Benzenoids,inhibitor,Mibefradil was withdrawn from the market in 1998 because of potentially harmful interactions with other drugs.,Which enzyme is primarily involved in the metabolism of Mibefradil?,Cytochrome P450 2D6,Cytochrome P450 3A4,Cytochrome P450 1A2,Lactase,Amylase,B
190,DB01388,Mibefradil,small molecule,Benzenoids,inhibitor,Mibefradil was withdrawn from the market in 1998 because of potentially harmful interactions with other drugs.,What is the bioavailability of Mibefradil after multiple dosing?,30%,50%,70%,90%,100%,D
191,DB01388,Mibefradil,small molecule,Benzenoids,inhibitor,Mibefradil was withdrawn from the market in 1998 because of potentially harmful interactions with other drugs.,Mibefradil is classified under which of the following categories?,Antiviral agents,Antihypertensive Agents,Antibiotics,Antifungal agents,Antidepressants,B
192,DB01412,Theobromine,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Theobromine (3,7-dimethylxanthine) is the principle alkaloid in Theobroma cacao (the cacao bean) and other plants. A xanthine alkaloid that is used as a bronchodilator and as a vasodilator. It has a weaker diuretic activity than theophylline and is also a less powerful stimulant of smooth muscle. It has practically no stimulant effect on the central nervous system. It was formerly used as a diuretic and in the treatment of angina pectoris and hypertension. (From Martindale, The Extra Pharmacopoeia, 30th ed, pp1318-9)",What is one of the therapeutic uses of Theobromine?,Antiviral agent,Bronchodilator,Antibiotic,Antifungal,Antiseptic,B
193,DB01412,Theobromine,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Theobromine (3,7-dimethylxanthine) is the principle alkaloid in Theobroma cacao (the cacao bean) and other plants. A xanthine alkaloid that is used as a bronchodilator and as a vasodilator. It has a weaker diuretic activity than theophylline and is also a less powerful stimulant of smooth muscle. It has practically no stimulant effect on the central nervous system. It was formerly used as a diuretic and in the treatment of angina pectoris and hypertension. (From Martindale, The Extra Pharmacopoeia, 30th ed, pp1318-9)",Which of the following is NOT a mechanism of action associated with Theobromine?,Vasodilator,Diuretic,CNS depressant,Heart stimulant,Respiratory stimulant,C
194,DB01412,Theobromine,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Theobromine (3,7-dimethylxanthine) is the principle alkaloid in Theobroma cacao (the cacao bean) and other plants. A xanthine alkaloid that is used as a bronchodilator and as a vasodilator. It has a weaker diuretic activity than theophylline and is also a less powerful stimulant of smooth muscle. It has practically no stimulant effect on the central nervous system. It was formerly used as a diuretic and in the treatment of angina pectoris and hypertension. (From Martindale, The Extra Pharmacopoeia, 30th ed, pp1318-9)",What is the chemical classification of Theobromine?,Steroid,Xanthine derivative,Benzodiazepine,Barbiturate,Opioid,B
195,DB01412,Theobromine,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Theobromine (3,7-dimethylxanthine) is the principle alkaloid in Theobroma cacao (the cacao bean) and other plants. A xanthine alkaloid that is used as a bronchodilator and as a vasodilator. It has a weaker diuretic activity than theophylline and is also a less powerful stimulant of smooth muscle. It has practically no stimulant effect on the central nervous system. It was formerly used as a diuretic and in the treatment of angina pectoris and hypertension. (From Martindale, The Extra Pharmacopoeia, 30th ed, pp1318-9)",Which of the following is a documented effect of Theobromine on the cardiovascular system?,Decreased heart rate,Increased blood pressure,Reduced cholesterol,Promotes bradycardia,None of the above,D
196,DB01488,Dimethyltryptamine,small molecule,Organoheterocyclic compounds,unknown,"An N-methylated indoleamine derivative, a serotonergic hallucinogen found in several plants, especially Prestonia amazonica (Apocynaceae) and in mammalian brain, blood, and urine. It apparently acts as an agonist at some types of serotonin receptors and an antagonist at others.",What is the chemical classification of Dimethyltryptamine?,Steroids,Tryptamines and derivatives,Glycopeptides,Monoclonal antibodies,Benzodiazepines,B
197,DB01488,Dimethyltryptamine,small molecule,Organoheterocyclic compounds,unknown,"An N-methylated indoleamine derivative, a serotonergic hallucinogen found in several plants, especially Prestonia amazonica (Apocynaceae) and in mammalian brain, blood, and urine. It apparently acts as an agonist at some types of serotonin receptors and an antagonist at others.",Which of the following is NOT a synonym for Dimethyltryptamine?,2-(3-indolyl)ethyldimethylamine,3-(2-dimethylaminoethyl)indole,"N,N-dimethyltryptamine",3-[2-(dimethylamino)ethyl]indole,"5-methoxy-N,N-dimethyltryptamine",E
198,DB01488,Dimethyltryptamine,small molecule,Organoheterocyclic compounds,unknown,"An N-methylated indoleamine derivative, a serotonergic hallucinogen found in several plants, especially Prestonia amazonica (Apocynaceae) and in mammalian brain, blood, and urine. It apparently acts as an agonist at some types of serotonin receptors and an antagonist at others.",Which drug interaction increases the risk of serotonin syndrome when combined with Dimethyltryptamine?,Buprenorphine,Linezolid,Hydrocodone,Methadone,Zolpidem,B
199,DB01541,Boldenone,small molecule,Lipids and lipid-like molecules,agonist,"Boldenone is an anabolic steroid developed for veterinary use, mostly for treatment of horses. It is not indicated for use in humans in the US and is only available through veterinary clinics.",What is the half-life of Boldenone?,24 hours,7 days,14 days,30 days,60 days,C
